cota;area_ha;volume_hm3
509,07;0,0000000000000e+00;0,0000000000000e+00
509,08;0,0000000000000e+00;0,0000000000000e+00
509,09;0,0000000000000e+00;0,0000000000000e+00
509,10;0,0000000000000e+00;0,0000000000000e+00
509,11;0,0000000000000e+00;0,0000000000000e+00
509,12;0,0000000000000e+00;0,0000000000000e+00
509,13;0,0000000000000e+00;0,0000000000000e+00
509,14;0,0000000000000e+00;0,0000000000000e+00
509,15;0,0000000000000e+00;0,0000000000000e+00
509,16;0,0000000000000e+00;0,0000000000000e+00
509,17;0,0000000000000e+00;0,0000000000000e+00
509,18;0,0000000000000e+00;0,0000000000000e+00
509,19;0,0000000000000e+00;0,0000000000000e+00
509,20;0,0000000000000e+00;0,0000000000000e+00
509,21;0,0000000000000e+00;0,0000000000000e+00
509,22;0,0000000000000e+00;0,0000000000000e+00
509,23;0,0000000000000e+00;0,0000000000000e+00
509,24;0,0000000000000e+00;0,0000000000000e+00
509,25;0,0000000000000e+00;0,0000000000000e+00
509,26;0,0000000000000e+00;0,0000000000000e+00
509,27;0,0000000000000e+00;0,0000000000000e+00
509,28;0,0000000000000e+00;0,0000000000000e+00
509,29;0,0000000000000e+00;0,0000000000000e+00
509,30;0,0000000000000e+00;0,0000000000000e+00
509,31;0,0000000000000e+00;0,0000000000000e+00
509,32;0,0000000000000e+00;0,0000000000000e+00
509,33;0,0000000000000e+00;0,0000000000000e+00
509,34;0,0000000000000e+00;0,0000000000000e+00
509,35;0,0000000000000e+00;0,0000000000000e+00
509,36;0,0000000000000e+00;0,0000000000000e+00
509,37;0,0000000000000e+00;0,0000000000000e+00
509,38;0,0000000000000e+00;0,0000000000000e+00
509,39;0,0000000000000e+00;0,0000000000000e+00
509,40;0,0000000000000e+00;0,0000000000000e+00
509,41;0,0000000000000e+00;0,0000000000000e+00
509,42;0,0000000000000e+00;0,0000000000000e+00
509,43;0,0000000000000e+00;0,0000000000000e+00
509,44;0,0000000000000e+00;0,0000000000000e+00
509,45;0,0000000000000e+00;0,0000000000000e+00
509,46;0,0000000000000e+00;0,0000000000000e+00
509,47;0,0000000000000e+00;0,0000000000000e+00
509,48;2,3300870651900e-07;4,6846355246648e-12
509,49;1,6461534865829e-06;8,7967666802048e-11
509,50;4,3403076720014e-06;3,7661564635301e-10
509,51;8,3154712627787e-06;9,9872951471346e-10
509,52;1,3571644258915e-05;2,0824102124192e-09
509,53;2,0108826660410e-05;3,7557586800059e-09
509,54;2,7927018467264e-05;6,1468758580094e-09
509,55;3,7026219679477e-05;9,3838626869656e-09
509,56;4,7557968570276e-05;1,3596717418926e-08
509,57;6,1100185599554e-05;1,9001048279197e-08
509,58;7,7957672629109e-05;2,5928182070326e-08
509,59;9,7859505852211e-05;3,4693768044754e-08
509,60;1,2336816640311e-04;1,7373497313387e-08
509,61;1,6181342324451e-04;3,1528285642560e-08
509,62;2,0675868990949e-04;5,0022308457765e-08
509,63;2,3798908733057e-04;7,1484202695238e-08
509,64;2,6358957321642e-04;9,6567699700491e-08
509,65;2,8864238175116e-04;1,2418386142677e-07
509,66;3,1314751293494e-04;1,5427792013915e-07
509,67;3,3710496676748e-04;1,8679510810216e-07
509,68;3,6055602799186e-04;2,2257638264194e-07
509,69;3,8389287364549e-04;2,5979896842307e-07
509,70;4,0717173166826e-04;2,8168904378085e-07
509,71;4,3017178401258e-04;2,6674517427236e-07
509,72;4,5288954004491e-04;3,1090055018028e-07
509,73;4,7533013149716e-04;3,5731384346217e-07
509,74;4,9749355836944e-04;4,0595733766029e-07
509,75;5,1952507704213e-04;4,8509217709983e-07
509,76;5,4167047295283e-04;5,3815097221820e-07
509,77;5,6393375462331e-04;5,9343020121562e-07
509,78;5,8631492205368e-04;6,5094165266842e-07
509,79;6,0881397524371e-04;7,1069711515190e-07
509,80;6,3142885757915e-04;7,2344787984288e-07
509,81;6,5422680950083e-04;7,7622202679336e-07
509,82;6,7773293486760e-04;8,4281327744543e-07
509,83;7,0204744818978e-04;9,1179556003194e-07
509,84;7,2717034895733e-04;9,6414062317954e-07
509,85;7,5295859901763e-04;1,0381427090107e-06
509,86;7,7927023718087e-04;1,1147497892530e-06
509,87;8,0610526344706e-04;1,1940142027168e-06
509,88;8,3343509260847e-04;1,2607692897435e-06
509,89;8,6122425999687e-04;1,3454984303925e-06
509,90;8,8947266513500e-04;1,4330294496678e-06
509,91;9,1818030802302e-04;1,5234082713448e-06
509,92;9,4735783172963e-04;1,6261616454722e-06
509,93;9,7852603667756e-04;1,6379830198054e-06
509,94;1,0123362872408e-03;1,7471394309824e-06
509,95;1,0477730972629e-03;1,8501317036556e-06
509,96;1,0846745547085e-03;1,9500350880553e-06
509,97;1,1227484712242e-03;2,0603965807196e-06
509,98;1,1619814236833e-03;2,1746234168320e-06
509,99;1,2023706348352e-03;2,2543233821983e-06
510,00;1,2438297964215e-03;2,2885358548166e-06
510,01;1,2863180654637e-03;2,4150346569645e-06
510,02;1,3297845398044e-03;2,6270144070434e-06
510,03;1,3740892019285e-03;2,6973716503461e-06
510,04;1,4210341753452e-03;2,8370914647110e-06
510,05;1,4730599118103e-03;2,8395944625258e-06
510,06;1,5286598271543e-03;3,0012283301932e-06
510,07;1,5885696573102e-03;3,1570544673089e-06
510,08;1,6526191980693e-03;3,3095655682410e-06
510,09;1,7197758232836e-03;3,4415779043357e-06
510,10;1,7899784152195e-03;3,6213144442557e-06
510,11;1,8673738037769e-03;3,8041142676465e-06
510,12;1,9523798953624e-03;3,9781575443570e-06
510,13;2,0432042362575e-03;4,1954466979212e-06
510,14;2,1402295019065e-03;4,3901307217855e-06
510,15;2,2577103102010e-03;4,6243318713991e-06
510,16;2,4026530621920e-03;4,8468763449423e-06
510,17;2,5270715444320e-03;4,9323950257223e-06
510,18;2,6443648496782e-03;5,1886083824301e-06
510,19;2,7605876219800e-03;5,4147867637497e-06
510,20;2,8772101274169e-03;5,6966784892701e-06
510,21;2,9940695157714e-03;5,9691060052696e-06
510,22;3,1123193764007e-03;6,3332105364143e-06
510,23;3,2332375534776e-03;6,6368326483076e-06
510,24;3,3569114933071e-03;6,9189374537947e-06
510,25;3,4831970118675e-03;7,2376264122959e-06
510,26;3,6123466270915e-03;7,5748805336131e-06
510,27;3,7445938000261e-03;7,9286267619121e-06
510,28;3,8820479584543e-03;8,3099138409878e-06
510,29;4,0248539260614e-03;8,7669271329513e-06
510,30;4,1718948369848e-03;9,1813105303300e-06
510,31;4,3257546967318e-03;9,6408793947089e-06
510,32;4,4959573811510e-03;9,9785423849087e-06
510,33;4,6533353416898e-03;1,0458934438258e-05
510,34;4,8137379067825e-03;1,0966774129428e-05
510,35;4,9772169912666e-03;1,1429906864625e-05
510,36;5,1438334276920e-03;1,1817471085379e-05
510,37;5,3132865009205e-03;1,2319206012718e-05
510,38;5,4853819423650e-03;1,2720849858682e-05
510,39;5,6592595851070e-03;1,3313116694426e-05
510,40;5,8347354898468e-03;1,3980190368412e-05
510,41;6,0122771135147e-03;1,4509268352680e-05
510,42;6,1926870656834e-03;1,4921748303651e-05
510,43;6,3759633283423e-03;1,5541064269219e-05
510,44;6,5626289992303e-03;1,6210187364728e-05
510,45;6,7529245186500e-03;1,6819364580550e-05
510,46;6,9450662815778e-03;1,7501258093140e-05
510,47;7,1378232247347e-03;1,8223749375748e-05
510,48;7,3325392556362e-03;1,8911800353237e-05
510,49;7,5291435758945e-03;1,9723138716587e-05
510,50;7,7270035623371e-03;2,0564666318967e-05
510,51;7,9273785796310e-03;2,1373789583019e-05
510,52;8,1313265620944e-03;2,2124296105897e-05
510,53;8,3389254929125e-03;2,2894794241664e-05
510,54;8,5495326409532e-03;2,3657444086988e-05
510,55;8,7612388116405e-03;2,4596150323397e-05
510,56;8,9733025057157e-03;2,5496958405435e-05
510,57;9,1878403245071e-03;2,6454901574699e-05
510,58;9,4048115923377e-03;2,7364352734653e-05
510,59;9,6245766760707e-03;2,8156079128420e-05
510,60;9,8507037854227e-03;2,9044695991011e-05
510,61;1,0082729454719e-02;3,0053282920966e-05
510,62;1,0317581706368e-02;3,1121427440583e-05
510,63;1,0554611910678e-02;3,2107705181067e-05
510,64;1,0793401877216e-02;3,3201058004600e-05
510,65;1,1065250986029e-02;3,4252834390254e-05
510,66;1,1364792898397e-02;3,5318212084346e-05
510,67;1,1664117283771e-02;3,6543170910005e-05
510,68;1,1962269583431e-02;3,7775303113969e-05
510,69;1,2256537428378e-02;3,8990201604140e-05
510,70;1,2553785480593e-02;4,0080725249134e-05
510,71;1,2856052908730e-02;4,1345993742917e-05
510,72;1,3154765898628e-02;4,2735776075224e-05
510,73;1,3452248795375e-02;4,4028448705129e-05
510,74;1,3752373623689e-02;4,5347824507979e-05
510,75;1,4052168264645e-02;4,6724037395334e-05
510,76;1,4348482439569e-02;4,8280944847349e-05
510,77;1,4645619400052e-02;4,9763946744299e-05
510,78;1,4948191426363e-02;5,1188811481282e-05
510,79;1,5257681043928e-02;5,2709172777014e-05
510,80;1,5573522418683e-02;5,4280325424521e-05
510,81;1,5892961277442e-02;5,5882245588664e-05
510,82;1,6216995539277e-02;5,7411622616628e-05
510,83;1,6548599665204e-02;5,9037670881701e-05
510,84;1,6887577547028e-02;6,0754158683091e-05
510,85;1,7235532092758e-02;6,2379221986030e-05
510,86;1,7594766373364e-02;6,4062131471431e-05
510,87;1,7972412183811e-02;6,5793076302076e-05
510,88;1,8374239920868e-02;6,7636119041536e-05
510,89;1,8806611844934e-02;6,9474608789569e-05
510,90;1,9269108917603e-02;7,1424189212654e-05
510,91;1,9733365693853e-02;7,3361198807270e-05
510,92;2,0164399107366e-02;7,5386679530636e-05
510,93;2,0587000660729e-02;7,7304688941355e-05
510,94;2,0989927284570e-02;7,9248679131609e-05
510,95;2,1388679276258e-02;8,1389545338057e-05
510,96;2,1780832071599e-02;8,3583539417431e-05
510,97;2,2168619186828e-02;8,5770652402022e-05
510,98;2,2551793748704e-02;8,7998925434711e-05
510,99;2,2932786469902e-02;9,0038010099311e-05
511,00;2,3314279379692e-02;9,2254037499507e-05
511,01;2,3696208483994e-02;9,4523528540237e-05
511,02;2,4080307168470e-02;9,6955604310380e-05
511,03;2,4465870344154e-02;9,9468152448253e-05
511,04;2,4851960693017e-02;1,0170895352980e-04
511,05;2,5237403143356e-02;1,0424139416260e-04
511,06;2,5623506438636e-02;1,0679711942520e-04
511,07;2,6010458679507e-02;1,0936479098186e-04
511,08;2,6398763959137e-02;1,1208566940745e-04
511,09;2,6789037636451e-02;1,1476481221386e-04
511,10;2,7179248082064e-02;1,1740674628297e-04
511,11;2,7570334428967e-02;1,2013050234866e-04
511,12;2,7962274979393e-02;1,2301804698140e-04
511,13;2,8355533225367e-02;1,2579375989796e-04
511,14;2,8750988427169e-02;1,2855582487219e-04
511,15;2,9149778597581e-02;1,3148803966441e-04
511,16;2,9553381072457e-02;1,3468452612802e-04
511,17;2,9962757263359e-02;1,3765241404911e-04
511,18;3,0376496316489e-02;1,4069190821902e-04
511,19;3,0795187278775e-02;1,4370462175079e-04
511,20;3,1216356199493e-02;1,4679817330083e-04
511,21;3,1636069718201e-02;1,4992238002330e-04
511,22;3,2063173709387e-02;1,5313893669670e-04
511,23;3,2496121261483e-02;1,5628149269893e-04
511,24;3,2933615135512e-02;1,5945158437593e-04
511,25;3,3375276570407e-02;1,6276526431826e-04
511,26;3,3820975332017e-02;1,6612553018172e-04
511,27;3,4273039769362e-02;1,6955552660304e-04
511,28;3,4738570145996e-02;1,7296662890448e-04
511,29;3,5217617589072e-02;1,7646166932756e-04
511,30;3,5705678339486e-02;1,7993232894249e-04
511,31;3,6201366969147e-02;1,8342994676243e-04
511,32;3,6710898464466e-02;1,8692748700202e-04
511,33;3,7256801299968e-02;1,9063793500475e-04
511,34;3,7869981722367e-02;1,9432476055997e-04
511,35;3,8504211867050e-02;1,9824687924218e-04
511,36;3,9134675602405e-02;2,0211368529530e-04
511,37;3,9762349095499e-02;2,0615460899673e-04
511,38;4,0345362679391e-02;2,1012487406096e-04
511,39;4,0888553593811e-02;2,1416625762428e-04
511,40;4,1417949012389e-02;2,1829772106783e-04
511,41;4,1932927540234e-02;2,2239494795443e-04
511,42;4,2431573392359e-02;2,2662185310638e-04
511,43;4,2914829570556e-02;2,3090034340865e-04
511,44;4,3387321998002e-02;2,3514987391048e-04
511,45;4,3851002864939e-02;2,3955296384131e-04
511,46;4,4307655407176e-02;2,4391385064343e-04
511,47;4,4755630751663e-02;2,4843383752260e-04
511,48;4,5198150214532e-02;2,5276353679233e-04
511,49;4,5637335141955e-02;2,5725057117925e-04
511,50;4,6072955022403e-02;2,6180347855001e-04
511,51;4,6504721405762e-02;2,6653787142553e-04
511,52;4,6933518654527e-02;2,7120442622023e-04
511,53;4,7357172887092e-02;2,7586461510012e-04
511,54;4,7776912450234e-02;2,8057066455404e-04
511,55;4,8192929343714e-02;2,8537950247677e-04
511,56;4,8605598744853e-02;2,9021190529758e-04
511,57;4,9016680779218e-02;2,9511111715230e-04
511,58;4,9425886891350e-02;2,9998851370181e-04
511,59;4,9833035402081e-02;3,0482747753145e-04
511,60;5,0237433643440e-02;3,0979768712836e-04
511,61;5,0638757573499e-02;3,1482668638196e-04
511,62;5,1037356177032e-02;3,2001485114201e-04
511,63;5,1432916771138e-02;3,2515680067712e-04
511,64;5,1826254058617e-02;3,3009968649573e-04
511,65;5,2217205792472e-02;3,3534370994954e-04
511,66;5,2606189774758e-02;3,4055861008379e-04
511,67;5,2996147685443e-02;3,4570472567687e-04
511,68;5,3387687508289e-02;3,5109174539073e-04
511,69;5,3779075903008e-02;3,5642363704781e-04
511,70;5,4161968308522e-02;3,6188032588725e-04
511,71;5,4539148310430e-02;3,6735490392354e-04
511,72;5,4913729611506e-02;3,7288444362250e-04
511,73;5,5288327847528e-02;3,7841826035106e-04
511,74;5,5663092285085e-02;3,8397566660316e-04
511,75;5,6037971683004e-02;3,8955279710060e-04
511,76;5,6411155333550e-02;3,9510823422653e-04
511,77;5,6782008123494e-02;4,0064118199541e-04
511,78;5,7151567076375e-02;4,0603803669785e-04
511,79;5,7520531361825e-02;4,1176936203675e-04
511,80;5,7889375469074e-02;4,1755490692756e-04
511,81;5,8257844096552e-02;4,2330646239789e-04
511,82;5,8625774765977e-02;4,2919773590421e-04
